,Country,Continent,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Abkhazia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06
2,Akrotiri and Dhekelia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Algeria,AFRICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,,,
5,American Samoa,OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Angola,AFRICA,0.026527865,,,,,,,,,,,0.5,0.8,1.0,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.1,2.1
8,Anguilla,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Argentina,SOUTH AMERICA,0.02050798,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4
11,Armenia,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
12,Aruba,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Australia,OCEANIA,,,,,0.012682938,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
14,Austria,EUROPE,,,0.010187591,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4
15,Azerbaijan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
16,Bahamas,NORTH AMERICA,0.01,,,,,,,,,,,3.6,3.8,3.9,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,2.9,2.8,2.8
17,Bahrain,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
19,Barbados,NORTH AMERICA,0.02767648,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,0.9,0.9,0.9
20,Belarus,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4
21,Belgium,EUROPE,,,,0.014146531,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
22,Belize,NORTH AMERICA,,,,,,,,,,,,0.5,0.7,1.0,1.2,1.4,1.5,1.6,1.8,1.9,2.0,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
23,Benin,AFRICA,,,,,,0.011875633,,,,,,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
24,Bermuda,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bhutan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
26,Bolivia,SOUTH AMERICA,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
27,Bosnia and Herzegovina,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Botswana,AFRICA,0.105976053,,,,,,,,,,,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26.0,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.1,23.7,23.4
29,Brazil,SOUTH AMERICA,0.09447913,,,,,,,,,,,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.3,0.3,0.3
30,British Virgin Islands,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brunei,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bulgaria,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,Burkina Faso,AFRICA,0.01,,,,,,,,,,,3.9,4.0,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.1
34,Burundi,AFRICA,0.015913875,,,,,,,,,,,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5.0,4.7,4.5,4.2,4.0,3.8,3.6,3.5,1.6,1.4,1.3
35,Cambodia,ASIA,,,,,,,0.01,,,,,0.5,0.8,1.0,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6
36,Cameroon,AFRICA,,0.012524627,,,,,,,,,,0.6,1.0,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,4.8,4.7,4.6
37,Canada,NORTH AMERICA,0.012998487,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
38,Cape Verde,AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
39,Cayman Islands,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
